"Dosis","Fecha inmunización","Personas vacunadas por día","Total de personas vacunadas a la fecha"
"1 dosis","26/06/2021","10.451","12.164.196"
"1 dosis","25/06/2021","37.415","12.153.745"
"1 dosis","24/06/2021","47.963","12.116.330"
"1 dosis","23/06/2021","75.311","12.068.367"
"1 dosis","22/06/2021","99.314","11.993.056"
"1 dosis","21/06/2021","7.269","11.893.742"
"1 dosis","20/06/2021","1.792","11.886.473"
"1 dosis","19/06/2021","16.520","11.884.681"
"1 dosis","18/06/2021","61.101","11.868.161"
"1 dosis","17/06/2021","70.603","11.807.060"
"1 dosis","16/06/2021","105.184","11.736.457"
"1 dosis","15/06/2021","84.684","11.631.273"
"1 dosis","14/06/2021","104.673","11.546.589"
"1 dosis","13/06/2021","1.420","11.441.916"
"1 dosis","12/06/2021","22.659","11.440.496"
"1 dosis","11/06/2021","80.136","11.417.837"
"1 dosis","10/06/2021","95.862","11.337.701"
"1 dosis","09/06/2021","75.905","11.241.839"
"1 dosis","08/06/2021","59.664","11.165.934"
"1 dosis","07/06/2021","53.483","11.106.270"
"1 dosis","06/06/2021","1.970","11.052.787"
"1 dosis","05/06/2021","14.658","11.050.817"
"1 dosis","04/06/2021","42.002","11.036.159"
"1 dosis","03/06/2021","55.126","10.994.157"
"1 dosis","02/06/2021","108.437","10.939.031"
"1 dosis","01/06/2021","138.587","10.830.594"
"1 dosis","31/05/2021","155.324","10.692.007"
"1 dosis","30/05/2021","9.100","10.536.683"
"1 dosis","29/05/2021","41.471","10.527.583"
"1 dosis","28/05/2021","144.982","10.486.112"
"1 dosis","27/05/2021","166.263","10.341.130"
"1 dosis","26/05/2021","180.159","10.174.867"
"1 dosis","25/05/2021","189.287","9.994.708"
"1 dosis","24/05/2021","175.495","9.805.421"
"1 dosis","23/05/2021","3.697","9.629.926"
"1 dosis","22/05/2021","26.492","9.626.229"
"1 dosis","21/05/2021","7.719","9.599.737"
"1 dosis","20/05/2021","126.717","9.592.018"
"1 dosis","19/05/2021","124.724","9.465.301"
"1 dosis","18/05/2021","135.577","9.340.577"
"1 dosis","17/05/2021","124.422","9.205.000"
"1 dosis","16/05/2021","265","9.080.578"
"1 dosis","15/05/2021","1.042","9.080.313"
"1 dosis","14/05/2021","102.924","9.079.271"
"1 dosis","13/05/2021","96.840","8.976.347"
"1 dosis","12/05/2021","104.581","8.879.507"
"1 dosis","11/05/2021","107.172","8.774.926"
"1 dosis","10/05/2021","103.131","8.667.754"
"1 dosis","09/05/2021","960","8.564.623"
