"","fecha","camas_utilizadas","vacunas_diarias","casos_nuevos_con_sintomas","casos_recuperados","casos_activos","casos_nuevos_sin_sintomas","casos_nuevos_sin_notificar","casos_nuevos_confirmados_por_antigeno","pacientes_vmi","pacientes_no_vm","pacientes_vm_no_invasiva","pcr","casos_pcr","fallecidos_diarios"
"1",2020-04-16,1036,0,534,3299,5403,0,0,0,313,0,0,6551,534,0
"2",2020-04-17,1073,0,445,3621,5515,0,0,0,316,0,0,5449,445,0
"3",2020-04-18,1051,0,478,4035,5569,0,0,0,296,0,0,5018,478,10
"4",2020-04-19,1109,0,358,4338,5617,0,0,0,312,0,0,4758,358,7
"5",2020-04-20,1134,0,419,4676,5692,0,0,0,296,0,0,5178,419,6
"6",2020-04-21,1143,0,325,4969,5716,0,0,0,303,0,0,3530,325,8
"7",2020-04-22,1224,0,464,5386,5750,0,0,0,309,0,0,6365,464,13
"8",2020-04-23,1193,0,516,5804,5840,0,0,0,316,0,0,6425,516,8
"9",2020-04-24,1211,0,494,6327,5805,0,0,0,325,0,0,7120,494,6
"10",2020-04-25,1230,0,552,6746,5931,0,0,0,321,0,0,6945,552,7
"11",2020-04-26,1262,0,473,7024,6118,0,0,0,319,0,0,6763,473,8
"12",2020-04-27,1286,0,482,7327,6288,0,0,0,325,0,0,5260,482,9
"13",2020-04-28,1353,0,552,7710,6448,0,0,0,317,0,0,4930,552,9
"14",2020-04-29,1382,0,520,8057,6862,250,0,0,310,0,0,6454,770,9
"15",2020-04-30,1396,0,780,8580,7216,108,0,0,323,0,0,7898,888,11
"16",2020-05-01,1449,0,882,9018,7756,103,0,0,327,0,0,8916,985,7
"17",2020-05-02,1504,0,1246,9572,8616,181,0,0,324,0,0,9967,1427,14
"18",2020-05-03,1601,0,1112,10041,9362,116,0,0,339,0,0,6818,1228,12
"19",2020-05-04,1729,0,876,10415,9958,104,0,0,354,0,0,7913,980,10
"20",2020-05-05,1798,0,1317,10710,11031,56,0,0,356,0,0,7964,1373,5
"21",2020-05-06,1915,0,893,11189,11578,139,0,0,385,0,0,10013,1032,6
"22",2020-05-07,2029,0,1343,11664,12632,190,0,0,391,0,0,12118,1533,4
"23",2020-05-08,2153,0,1183,12160,13518,208,0,0,419,0,0,11735,1391,9
"24",2020-05-09,2259,0,1004,12667,14248,243,0,0,445,0,0,11943,1247,10
"25",2020-05-10,2362,0,1406,13112,15442,241,0,0,470,0,0,12780,1647,8
"26",2020-05-11,2446,0,975,13605,16135,222,0,0,474,0,0,13373,1197,11
"27",2020-05-12,2593,0,1479,14125,17261,179,0,0,494,0,0,9283,1658,12
"28",2020-05-13,2818,0,2152,14865,19170,508,0,0,538,0,0,10410,2660,11
"29",2020-05-14,3005,0,2301,15655,21017,358,0,0,555,0,0,11502,2659,22
"30",2020-05-15,3169,0,2112,16614,22534,390,0,0,584,0,0,16095,2502,26
"31",2020-05-16,3333,0,1573,18014,22993,313,0,0,624,0,0,8813,1886,27
"32",2020-05-17,3518,0,2024,19213,24118,329,0,0,627,0,0,13171,2353,29
"33",2020-05-18,3800,0,2018,20165,25416,260,0,0,670,0,0,17515,2278,28
"34",2020-05-19,4063,0,3099,21507,27563,421,0,0,728,0,0,16189,3520,31
"35",2020-05-20,4248,0,3647,22504,30569,391,0,0,758,0,0,12469,4038,35
"36",2020-05-21,4487,0,3538,23992,33000,426,0,0,795,0,0,16334,3964,45
"37",2020-05-22,4647,0,3863,25342,35885,413,0,0,850,0,0,16090,4276,41
"38",2020-05-23,4914,0,3237,26546,38174,299,0,0,900,0,0,15239,3536,43
"39",2020-05-24,5149,0,3343,28148,40236,366,0,0,942,116,32,14426,3709,45
"40",2020-05-25,5292,0,4428,29302,43934,467,0,0,989,115,31,16283,4895,43
"41",2020-05-26,5613,0,3618,30915,46240,346,0,0,1029,140,33,13084,3964,45
"42",2020-05-27,5936,0,3956,33540,47908,372,0,0,1048,159,44,13398,4328,35
